
   0.000	   0.000	   0.000	  -0.682	   0.682	   0.266	  -0.040	  -1.000	   0.000
  15.000	   0.000	   0.000	  -0.324	   0.162	   0.932	  -0.040	  -1.000	   0.000
  30.000	   0.000	   0.000	   0.000	   0.000	   1.000	  -0.040	  -1.000	   0.000
  45.000	   0.000	   0.000	  -0.324	  -0.162	   0.932	  -0.040	  -1.000	   0.000
  60.000	   0.000	   0.000	  -0.682	  -0.682	   0.266	  -0.040	  -1.000	   0.000
   0.000	  15.000	   0.000	  -0.162	   0.324	   0.932	  -0.040	  -1.000	   0.000
  15.000	  15.000	   0.000	   0.563	  -0.563	   0.606	  -0.040	  -1.000	   0.000
  30.000	  15.000	   0.000	   1.000	   0.000	   0.000	  -0.040	  -1.000	   0.000
  45.000	  15.000	   0.000	   0.563	   0.563	   0.606	  -0.040	  -1.000	   0.000
  60.000	  15.000	   0.000	  -0.162	  -0.324	   0.932	  -0.040	  -1.000	   0.000
   0.000	  30.000	   0.000	  -0.000	  -0.000	   1.000	  -0.040	  -1.000	   0.000
  15.000	  30.000	   0.000	  -0.000	  -1.000	   0.000	  -0.040	  -1.000	   0.000
  30.000	  30.000	   0.000	   0.000	   0.000	  -1.000	  -0.040	  -1.000	   0.000
  45.000	  30.000	   0.000	   0.000	   1.000	   0.000	  -0.040	  -1.000	   0.000
  60.000	  30.000	   0.000	   0.000	   0.000	   1.000	  -0.040	  -1.000	   0.000
   0.000	  45.000	   0.000	   0.162	   0.324	   0.932	  -0.040	  -1.000	   0.000
  15.000	  45.000	   0.000	  -0.563	  -0.563	   0.606	  -0.040	  -1.000	   0.000
  30.000	  45.000	   0.000	  -1.000	   0.000	   0.000	  -0.040	  -1.000	   0.000
  45.000	  45.000	   0.000	  -0.563	   0.563	   0.606	  -0.040	  -1.000	   0.000
  60.000	  45.000	   0.000	   0.162	  -0.324	   0.932	  -0.040	  -1.000	   0.000
   0.000	  60.000	   0.000	   0.682	   0.682	   0.266	  -0.040	  -1.000	   0.000
  15.000	  60.000	   0.000	   0.324	   0.162	   0.932	  -0.040	  -1.000	   0.000
  30.000	  60.000	   0.000	  -0.000	   0.000	   1.000	  -0.040	  -1.000	   0.000
  45.000	  60.000	   0.000	   0.324	  -0.162	   0.932	  -0.040	  -1.000	   0.000
  60.000	  60.000	   0.000	   0.682	  -0.682	   0.266	  -0.040	  -1.000	   0.000
